cd_material,ds_material,classe,tipo,classificacao
57269,PEDAL PARA CAPTURA DE IMAGEM USB,Equipamentos de Informática,Equipamentos de Informática,Outros
57563,RADIO COMUNICADOR INTELBRAS RC4000,Equipamentos de Informática,Equipamentos de Informática,Outros
53481,"PLACA MÃE: DDR4, SOCKET 1151",Equipamentos de Informática,Equipamentos de Informática,PC
56508,"SERVIDOR HP PORLIANT DL 360 GEN 10 64GB RAM 2 DISCOS 600GB E 6 DISCOS 1,2TB(SAS DISCOS)",Equipamentos de Informática,Equipamentos de Informática,PC
56394,NOTEBOOK DELL i5 16GB RAM SSD 250GB e HD 500 -  WIN 10PRO,Equipamentos de Informática,Equipamentos de Informática,PC
63021,"Notebook Dell Inspiron 15 - 12ª geração Intel® Core&#x2122;  i5-1235U (10-core, cache de 12MB, até 4.4GHz)",Equipamentos de Informática,Equipamentos de Informática,PC
61254,NOTEBOOK SEMINOVO DELL LATITUDE,Materiais de Informática,Materiais de Informática,PC
54851,MICROCOMPUTADOR DELL OPTIPLEX 3070,Equipamentos de Informática,Equipamentos de Informática,PC
54989,NOTEBOOK DELL i7 16GB RAM SSD 250GB e HD 500 -  WIN 10PRO,Equipamentos de Informática,Equipamentos de Informática,PC
61421,BATERIA PARA NOTEBOOK LENOVO B330-15IKBR 81M1,Equipamentos de Informática,Equipamentos de Informática,PC
61445,"NOBREAK SENIUM - SENOIDAL, 3200VA, TRIVOLT NA ENTRADA, SAÍDA 115V/220V COM 8 TOMADAS",Equipamentos de Informática,Equipamentos de Informática,PC
53477,PLACA DE VÍDEO: GTX 1050 4GB,Equipamentos de Informática,Equipamentos de Informática,PC
53475,PROCESSADOR: INTEL CORE I7-8 GERAÇÃO,Equipamentos de Informática,Equipamentos de Informática,PC
59087,BATERIA PARA NOTEBOOK DELL. MODELO: DELL WDX0R,Equipamentos de Informática,Equipamentos de Informática,PC
61553,"NOTEBOOK I5 8ª GERAÇÃO OU SUPERIOR - 8GB RAM - SSD 256 GB OU SUPERIOR - TELA 15""",Equipamentos de Informática,Equipamentos de Informática,PC
56697,COMPUTADOR SEMINOVO DELL OPTIPLEX 3020/7020 CORE 15 -  WIN 10PRO,Materiais de Informática,Materiais de Informática,PC
65684,"IDEAPAD 1I INTEL CORE I5 12° GERAÇÃO 8GB RAM 512GB SSD TELA HD 15,6"" - WINDOWS 11",Equipamentos de Informática,Equipamentos de Informática,PC
65830,NOTEBOOK SEMINOVO DELL 3490 CORE 15/8 GER,Materiais de Informática,Materiais de Informática,PC
53007,COMPUTADOR HP PRODESK 400 G5 SFF I5 8500 - 8GB DDR4 2666MHZ - HD 500GB - WIN 10PRO  - 5JF18LA#AC4,Materiais de Informática,Materiais de Informática,PC
53010,TOTEM (KL SENHA 19),Materiais de Informática,Materiais de Informática,PC
